modelID,modelX,modelY,modelZ,sphereRadius1,sphereOffsetY1,sphereRadius2,sphereOffsetY2,sphereRadius3,sphereOffsetY3
Rock1,0,0,1500,128,128,0,0,0,0
Rock1,-1200,0,4600,128,128,0,0,0,0
Rock1,1000,0,16870,128,128,0,0,0,0
Rock1,300,10,12000,128,128,0,0,0,0
Rock2,800,0,2700,64,512,180,256,128,0
Rock2,2100,0,7920,64,512,180,256,128,0
Rock2,-100,0,13500,64,512,180,256,128,0
Rock2,800,0,18000,64,365,180,109,128,0
Rock3,-800,0,3000,90,460,100,256,128,0
Rock3,260,0,8500,90,460,100,256,128,0
Rock3,-700,10,15000,90,460,100,256,128,0
Rock3,-1000,0,18500,90,460,100,256,128,0
Rock1,0,0,4500,128,128,0,0,0,0
Rock1,-1200,0,9000,128,128,0,0,0,0
Rock1,1000,0,14000,128,128,0,0,0,0
Rock1,300,10,19000,128,128,0,0,0,0
Rock2,800,0,23000,64,512,180,256,128,0
Rock2,2100,0,24600,64,512,180,256,128,0
Rock2,-100,0,27000,64,512,180,256,128,0
Rock2,800,0,30000,64,365,180,109,128,0
Rock2,800,0,32000,64,512,180,256,128,0
Rock3,2100,0,35000,64,512,180,256,128,0
Rock1,-100,0,40000,64,512,180,256,128,0
Rock1,800,0,30000,64,365,180,109,128,0
